Code,Question,Type,Exam Level,Category,Sub Categories,Question Appeared,Question Attempted,Total Correct,Total Incorrect,Difficulty index,Answer 1,Answer 1 Respondents,Answer 2,Answer 2 Respondents,Answer 3,Answer 3 Respondents,Answer 4,Answer 4 Respondents,Answer 5,Answer 5 Respondents,Answer 6,Answer 6 Respondents
TEE-10017,"An elderly patient presents with a severe laceration to their forearm, resulting from an accident with a chainsaw. The wound is deep with significant bleeding. What is your immediate treatment?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Bleeding, Primary Assessment, Bleeding, Primary Assessment",855,834,485,349,0.58,Placement of a tourniquet,485,Apply a pressure bandage,312,Clean the wound with saline and apply a sterile dressing,37,Elevate the limb and apply ice,2,,,,
TEE-10018,"A patient involved in a high-speed collision has a large hematoma forming in the pericardial area, muffled heart sounds, and distended neck veins. What is the most likely condition?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Chest Trauma, Chest Trauma",854,835,684,151,0.82,Pericardial Tamponade,685,Myocardial infarction,21,Aortic dissection,55,Tension pneumothorax,76,,,,
TEE-10019,You are treating a patient who was struck by lightning. They are unconscious with entrance and exit wounds visible. What immediate care should be provided?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Environmental emergencies, Special considerations in trauma, Resuscitation, Primary Assessment, Environmental emergencies, Special considerations in trauma, Resuscitation, Primary Assessment",854,833,748,85,0.9,Assess for a carotid pulse and begin chest compressions if necessary,749,Immobilize the patient’s spine and transport immediately,54,Apply ice packs to the entrance and exit wounds stopping the burning process,8,Administer high-flow oxygen and monitor vital signs,24,,,,
TEE-10020,"You are dispatched to 3 patients struck by lightning. They are all unconscious, but one patient is apneic and pulseless. What should you do first? ",MCQ,"EMT, AEMT",Trauma Exit Exam,"Multiple Casualty Incidents, Environmental emergencies, Special considerations in trauma, Resuscitation, Multiple Casualty Incidents, Environmental emergencies, Special considerations in trauma, Resuscitation",855,838,567,271,0.68,Begin CPR on the pulseless patient and prepare for defibrillation,569,Assess the other two patients for responsiveness,259,Transport all patients to the nearest hospital immediately,6,Apply high-flow oxygen to all patients,6,,,,
TEE-10021,"A patient involved in a building collapse has been trapped under rubble for several hours. They present with swollen, tense limbs and severe pain. What condition should you be concerned about?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Special considerations in trauma, Trauma Overview, Special considerations in trauma, Trauma Overview",855,835,473,362,0.57,Crush syndrome,475,Compartment syndrome,338,Deep vein thrombosis,10,Pulmonary embolism,14,,,,
TEE-10022,A construction worker has sustained a penetrating neck injury from a falling piece of metal. What is your primary concern?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Head, Facial, neck, and Spine Trauma, Airway Management, Soft tissue Trauma, Primary Assessment, Head, Facial, neck, and Spine Trauma, Airway Management, Soft tissue Trauma, Primary Assessment",855,836,634,202,0.76,Airway compromise,634,Severe bleeding,156,Spinal injury,48,Infection risk,0,,,,
TEE-10023,You are treating a patient with multiple rib fractures after a motor vehicle accident. They are complaining of severe chest pain and difficulty breathing. What complication should you monitor for?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Chest Trauma, Multi-System Trauma, Chest Trauma, Multi-System Trauma",854,835,672,163,0.8,Pneumothorax,673,Cardiac tamponade,77,Pulmonary embolism,50,Myocardial infarction,37,,,,
TEE-10024,"A hiker presents with confusion, hot and dry skin, and a core body temperature of 105°F (40.5°C) after being lost in the desert. What is the likely diagnosis?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Environmental emergencies, Special considerations in trauma, Environmental emergencies, Special considerations in trauma",855,839,657,182,0.78,Heat stroke,658,Heat exhaustion,157,Dehydration,24,Heat cramps,2,,,,
TEE-10025,A child was bitten by a snake while playing in the backyard. The bite site is swollen and painful. What is an important step in prehospital management?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Special considerations in trauma, Environmental emergencies, Special considerations in trauma, Environmental emergencies",854,836,659,177,0.79,Keep the affected limb immobilized and at or below the level of the heart,660,Apply a tourniquet above the bite,73,Suck out the venom using a commercial device on your ambulance,19,Apply ice packs to the bite site,86,,,,
TEE-10026,A patient is experiencing severe shortness of breath and chest pain after being struck in the chest by a baseball. Auscultation reveals absent breath sounds on one side and the patient is hypotensive. What is the likely diagnosis?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Chest Trauma, Chest Trauma",855,836,513,323,0.61,Tension pneumothorax,513,Hemothorax,147,Cardiac tamponade,61,Pulmonary contusion,117,,,,
TEE-10027,You respond to a call where a toddler is unresponsive after being found submerged in a bathtub. What is the first action you should take after the patient is removed from the water?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Resuscitation, Special considerations in trauma, Primary Assessment, Resuscitation, Special considerations in trauma, Primary Assessment",855,834,655,179,0.79,Check for a pulse and begin CPR if necessary,657,Give rescue breaths immediately,113,Place the toddler in the recovery position and assist ventilations,28,Begin alternating back slaps and chest thrusts,38,,,,
TEE-10028,An elderly patient fell down a flight of stairs and is now experiencing severe lower back pain with no sensation in their legs. What injury should you suspect?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Head, Facial, neck, and Spine Trauma, Multi-System Trauma, Orthopedic Trauma, Nervous System Trauma, Head, Facial, neck, and Spine Trauma, Multi-System Trauma, Orthopedic Trauma, Nervous System Trauma",854,833,776,57,0.93,Spinal Cord Injury,778,Hip fracture,12,Pelvic fracture,45,Testicular torsion,0,,,,
TEE-10029,A young adult male is experiencing severe facial pain and difficulty opening his mouth after being punched in the face. You notice a flattened cheekbone on his left side. What is the likely injury?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Head, Facial, neck, and Spine Trauma, Orthopedic Trauma, Head, Facial, neck, and Spine Trauma, Orthopedic Trauma",855,833,515,318,0.62,Zygomatic fracture,516,Mandibular fracture,148,Maxillary fracture,131,Orbital fracture,40,,,,
TEE-10030,An alert and breathing patient presents with a gunshot wound to the thigh. The wound is actively bleeding and the patient is in severe pain. What is your primary concern?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Soft tissue Trauma, Soft tissue Trauma",855,836,824,12,0.99,Control the active bleeding,826,Monitor the patients airway,5,Begin transport to the closest trauma center,4,Establishing what the events leading to the injury were,3,,,,
TEE-10031,"An elderly patient complains of sudden, severe back pain and difficulty walking after slipping on a wet floor. What injury should you suspect?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Orthopedic Trauma, Head, Facial, neck, and Spine Trauma, Orthopedic Trauma, Head, Facial, neck, and Spine Trauma",854,839,386,453,0.46,Compression fracture,387,Hip fractures,258,Pelvic dislocation,73,Lumbar muscle tears,123,,,,
TEE-10032,"A patient was rescued from a house fire and presents with burns to the face, soot in the nostrils, and difficulty breathing. What should your next action be? ",MCQ,"EMT, AEMT",Trauma Exit Exam,"Resuscitation, Airway Management, Head, Facial, neck, and Spine Trauma, Special considerations in trauma, Resuscitation, Airway Management, Head, Facial, neck, and Spine Trauma, Special considerations in trauma",855,830,249,581,0.3,"Call for a paramedic, as this patient is likely going to decompensate",251,Administer high-flow oxygen and monitor the patient closely,466,"Cover the burns with a dry, sterile dressing and check vital signs",67,Elevate the patient’s head to ease breathing and transport rapidly,48,,,,
TEE-10033,A patient presents with bruising and swelling around their eye after being struck in the face with a baseball bat. They also report double vision. What is the likely injury?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Orthopedic Trauma, Head, Facial, neck, and Spine Trauma, Orthopedic Trauma, Head, Facial, neck, and Spine Trauma",855,837,712,125,0.85,Orbital fracture,713,Basilar skull fracture,83,Zygomatic fracture,38,Mandibular fracture,5,,,,
TEE-10034,"A 10-year-old child was in a car accident and now has severe neck pain, decreased range of motion, and tenderness along the cervical spine. What injury should you be concerned about?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Head, Facial, neck, and Spine Trauma, Head, Facial, neck, and Spine Trauma",854,833,715,118,0.86,Spinal Cord Injury,716,Clavicule fracture,30,Neck sprain,83,Shoulder dislocation,6,,,,
TEE-10035,"After a gunshot wound to the upper abdomen your patient now present with absent breath sounds on the left side, hypotension, and scaphoid abdomen. What injury do you suspect? ",MCQ,"EMT, AEMT",Trauma Exit Exam,"Abdominal and Genitourinary Trauma, Chest Trauma, Shock, Abdominal and Genitourinary Trauma, Chest Trauma, Shock",854,833,443,390,0.53,Diaphragmatic rupture,443,Liver laceration,34,Splenic rupture,60,Tension pneumothorax,298,,,,
TEE-10036,You are treating a construction worker who fell from scaffolding and landed on his feet. Upon examination you notice an unstable pelvis with intense pain. What is your immediate action?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Orthopedic Trauma, Multi-System Trauma, Orthopedic Trauma, Multi-System Trauma",854,835,780,55,0.93,Stabilize the pelvis with a pelvic binder,782,Elevate the legs to reduce pain and help blood pressure,2,Provide high-flow oxygen and rapid transport,17,Stabilize the pelvis with a traction splint,36,,,,
TEE-10037,A patient has been involved in a car accident and has a wound on their mid-forearm with significant bleeding and obvious deformity. What is this a most accurate example of?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Trauma Overview, Bleeding, Orthopedic Trauma, Trauma Overview, Bleeding, Orthopedic Trauma",855,835,751,84,0.9,An open fracture,753,Severe contusion,12,Deep laceration,51,Closed dislocation,21,,,,
TEE-10038," You arrive at a scene where a child has been attacked by a dog, resulting in deep puncture wounds to the leg. The leg has swollen significantly and distal pulses are weak. What is your primary concern?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Bleeding, Soft tissue Trauma, Bleeding, Soft tissue Trauma",854,835,412,423,0.49,Deep vascular injury leading to hypovolemia,413,Potential infection from the bites and sepsis,221,Superficial muscle damage leading to compartment syndrome,201,Skin irritation around the wound leading to sepsis,2,,,,
TEE-10039,You are dispatched to a patient who has fallen off of a deck at a pool party. He presents with an inability to move his left arm with intense pain in the shoulder. What is the likely injury? ,MCQ,"EMT, AEMT",Trauma Exit Exam,"Trauma Overview, Orthopedic Trauma, Trauma Overview, Orthopedic Trauma",856,830,647,183,0.78,Shoulder dislocation,649,Clavicle fracture,110,Torn rotator cuff,39,Humerus fracture,34,,,,
TEE-10040,"You arrive at the scene where a young adult male has been struck in the chest with a blunt object during a bar fight. He has difficulty breathing, jugular vein distension, and muffled heart sounds. He has a blood pressure of 88/64 and a heart rate of 130. What is the likely diagnosis?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Chest Trauma, Primary Assessment, Chest Trauma, Primary Assessment",855,833,603,230,0.72,Cardiac Tamponade,604,Pulmonary contusion,39,Myocardial contusion,68,Tension pneumothorax,124,,,,
TEE-10041,"You respond to a call where a toddler was left in a parked car on a hot day. The child is unresponsive with hot, dry skin. What is the likely condition?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Environmental emergencies, Environmental emergencies",855,837,741,96,0.89,Heatstroke,743,Heat exhaustion,82,Hypoglycemia,1,Dehydration,13,,,,
TEE-10042,"A patient was found floating face down in a pool and has been pulled out by bystanders. She semiconscious, and coughing while gasping. What is the appropriate immediate care?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Primary Assessment, Environmental emergencies, Primary Assessment, Environmental emergencies",856,837,183,654,0.22,Establish cervical spine immobilization procedures,183,Administer high-flow oxygen and monitor for respiratory distress,179,Perform abdominal thrusts to help her remove water,75,Place in recovery position and provide suction,402,,,,
TEE-10043,"You are arrive on scene for a patient who was in a high-speed car accident. They have a rapid, weak pulse, low blood pressure, and unequal radial pulses. What is the most likely diagnosis?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Multi-System Trauma, Chest Trauma, Multi-System Trauma, Chest Trauma",855,836,596,240,0.71,Traumatic aortic disruption,597,Tension pneumothorax,38,Hemothorax,78,Cardiac tamponade,125,,,,
TEE-10044,"A patient has been involved in a car crash and presents with bruising over the sternum and pain while breathing. On auscultation, you hear and feel crackling sounds under the skin. What condition should you suspect?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Multi-System Trauma, Chest Trauma, Multi-System Trauma, Chest Trauma",745,727,167,560,0.23,Tracheobronchial disruption,167,Subcutaneous emphysema,512,Tracheoesophageal fistula,42,Internal decapitation,8,,,,
TEE-10045,You respond to a call where a patient has a nail impaled in their neck from a nail gun. He meets you at the front door of his home holding the nail. What is the appropriate immediate action?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Head, Facial, neck, and Spine Trauma, Special considerations in trauma, Airway Management, Medical Terminology, Head, Facial, neck, and Spine Trauma, Special considerations in trauma, Airway Management, Medical Terminology",856,834,758,76,0.91,Stabilize the nail in place and transport the patient,760,Remove the nail and apply pressure,8,Bandage the wound and transport,64,Leave the nail and apply a proximal tourniquet,4,,,,
TEE-10046,"A construction worker was hit in the neck by a falling beam and is now experiencing difficulty breathing, neck swelling, and hoarseness. What injury should you suspect?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Chest Trauma, Chest Trauma",855,835,674,161,0.81,Laryngotracheal injury,675,Clavicular fracture,14,Cervical spine injury,132,Massive hemothorax,16,,,,
TEE-10047,You arrive on the scene where a worker was crushed under a heavy object. The patient has noticeable neck and facial swelling with petechiae on the chest and above. What condition should you suspect?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Chest Trauma, Patients with Special Challenges, Chest Trauma, Patients with Special Challenges",855,838,581,257,0.69,Traumatic asphyxia,582,Superior vena cava syndrome,75,Traumatic aortic dissection,141,Pulmonary embolism,42,,,,
TEE-10048,"You are called to a wilderness area where a hiker has been exposed to extreme cold for several hours. They are shivering, confused, and have frostbite on their fingers. What should your initial treatment focus on?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Environmental emergencies, Environmental emergencies",854,834,746,88,0.89,Removal of the patient from the environment,747,Rapid rewarming of extremities,39,Application of heat packs to the core,44,Immediate administration of warm fluids,6,,,,
TEE-10049,"A worker at a chemical plant has been exposed to a toxic chemical spill. They are experiencing difficulty breathing, coughing, and skin irritation. What your role as the transporting unit?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Special considerations in trauma, Hazardous Materials, Special considerations in trauma, Hazardous Materials",855,834,638,196,0.76,To await for the patient to be decontaminated before you begin patient care,640,Provide immediate respiratory support,133,Administer antidote specific to the chemical,5,Initiate transport to the nearest hospital,58,,,,
TEE-10050,"You respond to a call where a factory worker has inhaled a large amount of toxic fumes. After decontamination they present with respiratory distress, wheezing, and cyanosis. What is the primary treatment?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Special considerations in trauma, Hazardous Materials, Airway Management, Special considerations in trauma, Hazardous Materials, Airway Management",854,835,720,115,0.86,Administer high-flow oxygen and monitor patient condition,722,Assist ventilations and insertion of an OPA,99,Begin secondary decontamination prior to beginning care,12,Lay the patient in the supine position and keep warm during transport,4,,,,
TEE-10051,You arrive at the scene of a motorcycle accident. The patient is unconscious and breathing at 8 breaths per minute with snoring respirations and an obvious facial fracture. What is the most appropriate initial airway management?,MCQ,AEMT,Trauma Exit Exam,"Head, Facial, neck, and Spine Trauma, Multi-System Trauma, Airway Management, Ventilation",241,238,184,54,0.77,Insert a supraglottic airway with assisted BVM ventilations,184,Provide CPAP with 5 cm H₂O pressure,2,Insert a nasopharyngeal airway with assisted BVM ventilations,44,Apply a non-rebreather mask at 15 L/min,8,,,,
TEE-10052,"A 35-year-old presents with altered mental status and respiratory distress after a stab wound to the left side of his chest. You note decreased breath sounds on the left, distended neck veins, muffled heart tones, and tracheal deviation. What is the most likely diagnosis?",MCQ,AEMT,Trauma Exit Exam,"Chest Trauma, Primary Assessment, Cardiovascular",241,235,172,63,0.73,Tension pneumothorax,172,Diaphragmatic rupture,3,Cardiac tamponade,54,Simple pneumothorax,6,,,,
TEE-10053,"You are treating a 35-year-old involved in a high-speed collision. They are hypotensive with a scaphoid abdomen, muffled heart sounds, peristalsis sounds in the chest, and narrowing pulse pressure. What is the most likely cause of her condition?",MCQ,AEMT,Trauma Exit Exam,"Chest Trauma, Abdominal and Genitourinary Trauma, Primary Assessment",241,236,125,111,0.53,Diaphragmatic rupture,125,Tension pneumothorax,14,Cardiac tamponade,94,Flail chest,3,,,,
TEE-10054,"A 50-year-old male is suffering from hemorrhagic shock after a fall from a roof. His blood pressure is 90/30 mmHg, and you are preparing to administer a fluid bolus. What is the MAP for this patient, and is this adequate perfusion?",MCQ,AEMT,Trauma Exit Exam,"Shock, Resuscitation, Multi-System Trauma, Secondary Assessment",241,234,181,53,0.77,MAP = 50 and this is not adequate perfusion,181,MAP = 60 and this is adequate perfusion,36,MAP = 65 and this is not adequate perfusion,11,MAP = 55 and this is adequate perfusion,6,,,,
TEE-10055,"You are treating a 22-year-old male involved in a motor vehicle accident. He has decreased breath sounds on the right side, hypotension, and difficulty breathing. What is your immediate intervention?",MCQ,AEMT,Trauma Exit Exam,"Chest Trauma, Primary Assessment, Cardiovascular, Airway Management",241,236,134,102,0.57,Assist ventilations with a BVM and prepare for patient decompensation,134,Insert a supraglottic airway and administer a fluid bolus,24,Apply CPAP at 10 cm H₂O pressure to allow for adequate chest movement,17,Prepare for a needle decompression prior to assisting ventilations with a BVM,61,,,,
TEE-10056,A 28-year-old male presents with a stab wound to the chest. Your partner believes this patient has a tension pneumothorax. What 2 signs would be most indicative of this?,MSQ,AEMT,Trauma Exit Exam,"Chest Trauma, Primary Assessment, Cardiovascular, Shock",241,236,86,150,0.36,Tracheal deviation,142,Unilateral absent lung sounds,150,Hypotension,55,Muffled heart tones,15,Jugular vein distension,110,,
TEE-10057,"You are treating a 35-year-old male who fell from a second-story window. He is unresponsive, has paradoxical chest motion on the right side, and jugular vein distention. His blood pressure is 90/50, and his heart rate is 120 bpm. What is the most likely cause?",MCQ,AEMT,Trauma Exit Exam,"Chest Trauma, Primary Assessment, Cardiovascular, Multi-System Trauma",241,237,153,84,0.65,Flail chest,153,Cardiac tamponade,66,Aortic rupture,6,Traumatic asphyxia,12,,,,
TEE-10058,"A patient involved in a motor vehicle collision presents with hypotension, muffled heart sounds, and jugular venous distention. These findings are collectively known as what?",MCQ,AEMT,Trauma Exit Exam,"Chest Trauma, Primary Assessment, Cardiovascular, Shock",241,238,224,14,0.94,Beck’s Triad,224,Battle’s Sign,1,Cushing’s Reflex,7,Grey Turner’s Sign,6,,,,
TEE-10059,"You are called to treat a 40-year-old male who was struck in the chest by a large object. He is now in respiratory distress, has severe bruising on his chest, and has paradoxical movement of his chest wall. What is the most effective treatment?",MCQ,AEMT,Trauma Exit Exam,"Ventilation, Chest Trauma",241,237,174,63,0.73,Positive pressure ventilation,174,Administration of a fluid bolus,0,Rapid transport,63,Bilateral IV access,0,,,,
TEE-10060,"You are dispatched to the inner city for an explosion. Multiple victims are already being tended to by other EMS personnel, and you are assigned to care for a patient complaining of bilateral ear pain (otalgia). He states that he believes a small amount of bloody drainage has come from each ear. This is an example of what type of blast injury?",MCQ,AEMT,Trauma Exit Exam,"Multi-System Trauma, Multiple Casualty Incidents, Disorders of the Eyes, Ears, Nose, and Throat, Primary Assessment",241,235,165,70,0.7,Primary blast injury,165,Secondary blast injury,31,Tertiary blast injury,27,Quaternary blast injury,12,,,,
