Chapter	Question Code	Question	Question Choice	Answer 1	Answer 2	Answer 3	Answer 4	Answer 5	Answer 6	Correct Answer	Difficulty Level	Category	Sub Topics	Explanation	Page Number
Chapter 3	INST-3E-087	An EMS instructor observes students during a trauma assessment lab consistently verbalizing 'I am applying direct pressure' and 'I am checking distal pulses' without actually performing these actions with their hands. What should the instructor do to address this training deficiency?	Single	"Stop the practice session and require students to physically perform each skill step while wearing gloves, emphasizing that muscle memory develops only through actual tactile performance of procedures."	"Allow students to continue verbalizing actions during initial practice, then transition to physical performance once they demonstrate cognitive understanding of the assessment sequence and rationale."	"Encourage students to pair verbal descriptions with mental visualization of each skill, as cognitive rehearsal strengthens neural pathways and prepares students for subsequent physical practice sessions."	"Have students alternate between verbalizing steps and performing actions to reinforce both procedural knowledge and psychomotor skills, creating dual encoding pathways that enhance skill retention."			A	3	Learning Styles	Brain-Based Learning > Exercise the Brain: Practice the Way We Play	"The correct answer addresses the core principle that muscle memory develops exclusively through repetitive physical practice, not verbal rehearsal. Students must perform actions exactly as they will in the field to create instinctive responses under stress. Allowing continued verbalization (distractor B) perpetuates the misconception that saying equals doing and delays proper muscle memory formation, though cognitive understanding does precede psychomotor practice in some learning models. Mental visualization (distractor C) supports cognitive rehearsal but cannot replace the tactile and proprioceptive feedback essential for procedural memory formation, though it serves as a useful supplement between physical practice sessions. Alternating between verbalization and performance (distractor D) may seem comprehensive but actually trains students to use two different response patterns, which can cause hesitation during high-stress situations when automatic muscle memory is critical."	"Foundations of Education, page 85"
Chapter 4	INST-3E-154	An instructor uses a practical scenario to teach EMS students. Which aspect of experiential learning does this BEST demonstrate?	Single	"Learning by doing through a structured cycle that encompasses concrete experience, reflective observation, abstract conceptualization, and active experimentation in practical applications."	"Experiential learning is characterized exclusively by hands-on activities and physical practice, without incorporating other educational methods or theoretical components into the learning process."	"Reflection and reflective observation are not necessary or required components in the experiential learning process, as direct experience alone is sufficient for learning."	"The focus should be placed exclusively on simulation-based learning activities, utilizing only simulated scenarios and mannequins rather than incorporating other experiential teaching methods."			A	3	Learning Styles	Principles of Adult Learning > Practical Application of the Theory > Experiential Learning	"Learning by doing, as it involves a cycle of experience, reflection, abstraction, and testing, captures the essence of experiential learning by engaging students in active participation and reflection. 'Experiential learning only involves hands-on activities' is not the most effective approach unless the focus is strictly on physical skill acquisition, which is not the complete picture. 'Reflection is not necessary in experiential learning' would be appropriate if the focus was on immediate application, but reflection is crucial for deeper understanding. 'Focus on simulation-based learning exclusively' addresses realistic practice, but experiential learning encompasses a broader range of activities beyond simulations."	"Foundations of Education, page 116"
Chapter 5	INST-3E-163	"An EMS instructor is planning a lesson on respiratory emergencies. To effectively reach learners with different preferences, which approach would BEST demonstrate the principle of varying teaching methods?"	Single	Combining a brief lecture on pathophysiology with visual diagrams of the respiratory system and hands-on practice with assessment techniques	Delivering an engaging and well-organized lecture that thoroughly covers all respiratory emergency content from beginning to end	Selecting the teaching method that matches the instructor's own preferred learning style to ensure confident delivery	Alternating between multiple teaching techniques every few minutes to maintain student attention and provide constant variety			A	1	Learning Styles	Using Learning Styles to Enhance Teaching	"The correct answer demonstrates purposeful integration of auditory (lecture), visual (diagrams), and kinesthetic (hands-on practice) elements within a single lesson, which is the foundation of illustrated lectures and varied instruction. Option B reflects the misconception that lecture alone suffices if well-delivered, though extended lectures would be appropriate for advanced learners who prefer theoretical depth. Option C represents teaching to one's own style rather than students' needs, though this approach might work when instructor expertise in a particular method significantly enhances content delivery. Option D confuses purposeful variety with constant change without instructional rationale, though rapid transitions might be appropriate in short review sessions or when addressing attention fatigue."	"Foundations of Education, page 131"
Chapter 6	INST-3E-190	An EMS instructor is designing a new paramedic program and wants to minimize bias that could result from the inherent power imbalance between instructors and students. Which approach would BEST address the structural power dynamics in the teaching relationship?	Single	"Establish transparent criteria for grading, scheduling, and clinical assignments while creating formal channels for students to provide anonymous feedback on course decisions and instructor practices."	Develop strong mentorship relationships with students by being available outside class hours and sharing personal experiences to demonstrate approachability and reduce perceived power differences.	"Encourage students to participate actively in class discussions and ask questions freely, ensuring that all student voices are heard equally during instructional sessions."	"Create collaborative learning groups where students work together on projects and assessments, allowing peer-to-peer interaction to balance the traditional instructor-centered classroom structure."			A	5	Cultural Awareness	Culture in the EMS Classroom > Power in the Teaching Relationship	"The correct answer addresses the structural elements where instructor power resides—grading, scheduling, assignments, curriculum decisions—by making these processes transparent and creating accountability mechanisms through formal feedback channels. This directly mitigates bias introduced through the instructor's control over these systems. Option B focuses on building influence and rapport, which are valuable leadership qualities but do not address the structural power imbalance inherent in the instructor's role. Option C describes creating an open learning environment that encourages participation, which relates to classroom climate but does not address the instructor's fundamental control over evaluation and curriculum decisions. Option D promotes collaborative learning strategies that enhance peer interaction, which supports effective pedagogy but leaves the underlying power structure—who controls grades, schedules, and content—unaddressed."	"Foundations of Education, page 140"
Chapter 6	INST-3E-218	An instructor assumes all Millennials learn best with technology. What is the flaw in this assumption?	Single	Generational stereotypes should not dictate teaching methods.	Millennials universally prefer digital learning platforms.	Technology enhances learning for all students equally.	Digital literacy is the defining trait of Millennials.			A	3	Cultural Awareness	Culture in the EMS Classroom > Diversity in the Classroom > Generational Learning: Is There Really a	"Generational stereotypes should not dictate teaching methods, as they overlook individual differences and preferences. 'Millennials universally prefer digital learning platforms' is an overgeneralization that ignores diverse learning styles. 'Technology enhances learning for all students equally' fails to consider variances in access and preference. 'Digital literacy is the defining trait of Millennials' oversimplifies the characteristics of an entire generation."	"Foundations of Education, page 139"
Chapter 7	INST-3E-225	A paramedic student arrives at a clinical site and is assigned to assist with patient care in the emergency department. Which statement BEST DESCRIBES the student's responsibility regarding patient consent before performing any interventions?	Single	The student must identify themselves as a student to the patient and obtain explicit consent before performing any procedure or intervention on that patient.	"The student should follow the clinical site's standard consent procedures, which typically cover all healthcare providers including students once the patient agrees to treatment."	The student may proceed with interventions after the preceptor introduces them to the patient and confirms that the patient has signed the facility consent forms.	"The student should wait for the preceptor to obtain consent for the overall treatment plan, which includes permission for student participation in patient care activities."			A	2	Learning Environment	The Learning Environment > Clinical and Field Environment	"Students must always identify themselves as students and obtain explicit patient consent before performing interventions, ensuring full disclosure about who is providing care. The second option incorrectly assumes that general facility consent covers student participation, when patients retain the right to decline student involvement even after agreeing to treatment. The third option inappropriately delegates the student's responsibility to the preceptor and assumes signed facility forms include student participation, which may not be the case. The fourth option conflates general treatment consent with specific consent for student practice; these are separate considerations, and patients may consent to treatment while declining student involvement."	"Foundations of Education, page 165"
Chapter 8	INST-3E-277	Which statement BEST DESCRIBES the cognitive domain levels in Bloom's Taxonomy?	Single	"The cognitive domain is structured into six hierarchical levels: Remember, Understand, Apply, Analyze, Evaluate, and Create."	The cognitive domain levels are not hierarchical and can be addressed in any order.	"The cognitive domain includes levels such as Feeling, Valuing, and Organizing."	The cognitive domain focuses solely on memory recall and understanding.			A	2	Domains of Learning	Domains of Learning > Domain Levels and Dimensions > Bloom’s Taxonomy for the Cognitive Domain	"The cognitive domain in Bloom's Taxonomy is structured into six hierarchical levels, which guide educators in developing learning objectives that progress from basic recall to complex creation. 'The cognitive domain levels are not hierarchical...' would be appropriate if discussing a non-hierarchical model, but in this scenario, Bloom's model is inherently hierarchical. 'The cognitive domain includes levels such as Feeling...' is related to the affective domain, not cognitive. 'The cognitive domain focuses solely on memory recall...' is important but secondary to the full range of cognitive processes outlined in Bloom's framework."	"Foundations of Education, page 173"
Chapter 8	INST-3E-283	An EMS instructor is introducing a new skill by building on what students learned in a previous class. What teaching strategy are they using?	Single	Scaffolding	Direct instruction	Discovery learning	Lecture-based teaching			A	3	Domains of Learning	Domains of Learning > Addressing the Domains in Teaching Strategies	"Scaffolding involves introducing new skills by building on prior knowledge, providing support as students progress until they can perform independently. 'Direct instruction' would be appropriate if delivering content in a structured format, but in this scenario, gradual skill development is the focus. 'Discovery learning' is valuable for self-guided exploration, but here structured support is needed. 'Lecture-based teaching' could be effective when conveying information, however, this scenario requires interactive skill development."	"Foundations of Education, page 180"
Chapter 8	INST-3E-289	An EMS educator is designing test questions to assess students' ability to demonstrate how a specific treatment protocol should be used in a patient care scenario. Which cognitive domain level is the educator targeting?	Single	Remember	Understand	Apply	Analyze			C	3	Domains of Learning	Domains of Learning > Domain Levels and Dimensions > Bloom’s Taxonomy for the Cognitive Domain	"The 'Apply' level (Level 3) of Bloom's Taxonomy is appropriate when students must demonstrate how to use knowledge in a specific situation or scenario. When students show how a treatment protocol should be used in patient care, they are executing or implementing learned procedures in concrete situations, which is the hallmark of the Apply level. 'Remember' (Level 1) involves only recalling facts or protocols. 'Understand' (Level 2) requires explaining or interpreting concepts but not demonstrating their use. 'Analyze' (Level 4) would involve breaking down complex situations into components or examining relationships, which goes beyond demonstrating protocol application."	"Foundations of Education, page 173"
Chapter 8	INST-3E-290	Which approach is MOST EFFECTIVE for teaching affective skills in a classroom setting?	Single	Incorporating role-playing scenarios to engage students emotionally	Using lecture-based teaching to convey emotional concepts	Assigning reading materials on emotional intelligence	Focusing on psychomotor activities to develop empathy			A	5	Domains of Learning	Domains of Learning > Categorizing the Domains > Affective Domain	"Incorporating role-playing scenarios effectively engages students emotionally, allowing them to practice and develop affective skills in a realistic context. 'Using lecture-based teaching to convey emotional concepts' would be appropriate if the goal was to deliver theoretical knowledge, but in this scenario, active engagement is key. 'Assigning reading materials on emotional intelligence' is valuable for foundational understanding, but here experiential learning is prioritized. 'Focusing on psychomotor activities to develop empathy' could be effective for physical skill development, however, this scenario requires emotional engagement."	"Foundations of Education, page 172"
Chapter 9	INST-3E-300	Which statement BEST describes the purpose of incorporating the 'Time-bound' component when writing SMART learning objectives for an EMS course?	Single	"To establish a realistic timeline within which learners will achieve the objective, ensuring the objective aligns with the course duration and instructional sequence."	To specify the exact amount of time students will have to complete the final assessment or practical examination for the course unit.	To determine the maximum duration an instructor should allocate to teaching the content before moving to the next lesson topic.	"To identify when the objective will be assessed during the course, distinguishing formative assessment points from summative evaluation activities."			A	2	Goals and Objectives	Goals and Objectives > SMART Objective Development	"The 'Time-bound' element of SMART objectives establishes when learners are expected to achieve the objective, ensuring it is realistic within the course timeline and instructional sequence. This component helps instructors plan appropriate pacing and ensures objectives are achievable within identified time constraints. The distractor about assessment completion time confuses the objective's achievement timeline with testing time limits, which addresses test administration rather than objective design. The distractor about instructional time allocation relates to lesson planning rather than objective construction, though time management is important for course delivery. The distractor about assessment timing focuses on evaluation scheduling rather than the broader concept of when learners should achieve competency, though assessment placement is a valid instructional consideration."	"Foundations of Education, page 198"
Chapter 9	INST-3E-316	What are the key characteristics of objectives in educational settings?	Single	"Specific, measurable steps to achieve goals"	Broad statements that guide the overall direction	General guidelines for course content	Flexible targets that can be adjusted as needed			A	1	Goals and Objectives	Goals and Objectives > Goals and Objectives	"Specific, measurable steps to achieve goals ensure clarity and direction in educational settings, facilitating the achievement of broader educational goals. Broad statements that guide the overall direction are more characteristic of goals rather than objectives, which need specificity. General guidelines for course content are valuable for curriculum development but do not provide the precise focus required in an objective. Flexible targets allow for adaptation but lack the precision needed to effectively measure progress toward educational goals."	"Foundations of Education, page 156"
Chapter 9	INST-3E-317	Which statement BEST DESCRIBES the relationship between goals and objectives?	Single	"Goals represent broad, overarching targets that an organization or individual aims to achieve, while objectives are the specific, measurable steps taken to accomplish those goals."	Goals and objectives are essentially the same concept and these terms can be used interchangeably when discussing organizational planning and performance measurement.	"Objectives can exist and be developed independently of any broader goals, functioning as standalone targets without requiring connection to overarching organizational aims."	"Goals are specific, concrete tasks that must be completed, while objectives represent general aspirations and broad directions that guide overall organizational efforts."			A	2	Goals and Objectives	Goals and Objectives > Goals and Objectives	"Goals are broad targets, while objectives are specific steps to achieve those goals, providing a clear pathway to success. Goals and objectives are the same and can be used interchangeably is a common misconception, as they serve different functions in educational planning. Objectives can exist independently of goals is inaccurate because objectives derive their purpose from the goals they aim to achieve. Goals are specific tasks, while objectives are general aspirations reverses the typical definitions, leading to confusion in planning."	"Foundations of Education, page 156"
Chapter 9	INST-3E-321	What are the three domains of learning objectives described in Bloom's Taxonomy?	Single	"Cognitive (knowledge-based), Affective (attitude-based), and Psychomotor (skill-based)"	"Remember, Understand, and Apply"	"Beginner, Intermediate, and Advanced"	"Theory, Practice, and Assessment"			A	1	Goals and Objectives		"Bloom's Taxonomy describes three distinct domains of learning objectives: Cognitive (knowledge and intellectual skills), Affective (attitudes, values, and emotions), and Psychomotor (physical skills and coordination). The cognitive domain is further subdivided into six levels: Remember, Understand, Apply, Analyze, Evaluate, and Create. Understanding all three domains helps instructors design comprehensive learning experiences that address knowledge, attitudes, and skills—all essential components of EMS education."	
Chapter 9	INST-3E-323	An EMS instructor wants to ensure their lesson objectives are effective. What should they focus on?	Multi	"Objectives should be specific, measurable, observable, and aligned with goals."	Objectives should be as broad as possible to cover more material.	Objectives should focus on terminal goals rather than interim steps.	Objectives should be vague to allow flexibility in teaching.			A	3	Goals and Objectives		"Objectives should be specific, measurable, observable, and aligned with goals to ensure clarity and effectiveness in lesson planning. Making objectives as broad as possible is not the most effective approach UNLESS the aim is to cover large thematic units, but specific objectives are needed here for precision. Focusing on terminal goals rather than interim steps would be appropriate IF the end achievement is the sole focus, but in this scenario, interim steps ensure progress and measurability. Keeping objectives vague to allow flexibility is valuable in dynamic settings, but here the priority is clear and targeted objectives."	
Chapter 9	INST-3E-326	Which cognitive level in Bloom's Taxonomy involves creating new work?	Single	Create	Evaluate	Analyze	Apply			A	1	Goals and Objectives		"The 'Create' level in Bloom's Taxonomy involves generating new ideas or products, representing the highest cognitive process. 'Evaluate' is not the most effective approach UNLESS the focus is on making judgments, which does not involve creation. 'Analyze' would be appropriate IF dissecting information into parts is the focus, but creation involves synthesis. 'Apply' could be effective when the goal is to use information in new situations, however this scenario requires generating original work."	
Chapter 10	INST-3E-349	What is the primary purpose of a lesson plan in EMS education?	Single	Lesson plans serve as a guide for instruction and ensure continuity and consistency in teaching.	Lesson plans are only necessary for new instructors.	Lesson plans do not need to be revised once created.	Curriculum development is the primary purpose of lesson plans.			A	1	Lesson Plans	Lesson Plans > Overview of Lesson Plans	"Lesson plans serve as a guide for instruction and ensure continuity and consistency in teaching, which is crucial for maintaining educational standards. Believing 'lesson plans are only necessary for new instructors' is a misconception; they are essential for all educators to provide structured learning. Thinking 'lesson plans do not need to be revised once created' ignores the evolving nature of educational content and methods. 'Curriculum development' is a broader process that lesson plans contribute to rather than being their primary purpose."	"Foundations of Education, page 204"
Chapter 10	INST-3E-365	Explain why it is important to review lesson objectives with students.	Single	It ensures students understand what is expected and can align their learning efforts accordingly	It allows students to choose which objectives they prefer to focus on	It provides an opportunity for students to critique the lesson plan	It helps students determine if the lesson content is relevant to their personal goals			A	2	Lesson Plans		"Reviewing lesson objectives with students 'ensures they understand what is expected and can align their learning efforts accordingly,' fostering clarity and direction. Allowing students to 'choose which objectives they prefer to focus on' can undermine the educational structure and goals. Providing an opportunity for students to 'critique the lesson plan' is useful for feedback but not the primary purpose of reviewing objectives. Helping students 'determine if the lesson content is relevant to their personal goals' is valuable for engagement but does not ensure alignment with educational objectives."	
Chapter 10	INST-3E-368	What is the MOST EFFECTIVE strategy for ensuring lesson objectives are comprehensive and balanced?	Single	"Design objectives that incorporate cognitive, psychomotor, and affective domains based on Bloom's Taxonomy"	Focus on objectives that align with standardized tests	Prioritize objectives that are easy to measure	Develop objectives based on current educational trends			A	5	Lesson Plans		"Designing objectives that incorporate 'cognitive, psychomotor, and affective domains based on Bloom's Taxonomy' ensures a comprehensive and balanced approach. Focusing on 'objectives that align with standardized tests' can limit the breadth of learning. Prioritizing 'objectives that are easy to measure' may neglect important but complex learning goals. Developing 'objectives based on current educational trends' can ensure relevance but may not address all learning domains comprehensively."	
Chapter 11	INST-3E-376	"An EMS instructor asks a student, 'Why did you choose to administer high-flow oxygen to this patient?' The student responds, 'Because the patient is short of breath.' What should the instructor do NEXT to effectively apply the Socratic method?"	Single	Ask a follow-up question such as 'What specific assessment findings led you to conclude that high-flow oxygen was indicated?' to guide deeper analysis of the clinical decision.	"Pause for 5-7 seconds to provide adequate wait time, then move to another student if the first student cannot provide additional reasoning for the treatment choice."	"Provide immediate feedback by explaining the correct pathophysiology and oxygen delivery devices, then ask the student to repeat the correct rationale back to the class."	"Evaluate whether the student's answer demonstrates critical thinking skills by comparing it to established assessment criteria, then document the response for summative evaluation purposes."			A	2	Facilitation Techniques	Introduction to Teaching Strategies > Questioning Techniques > Socratic Method	"The Socratic method uses sequential, probing questions to challenge assumptions and guide students toward greater specificity and deeper reasoning, allowing them to arrive at conclusions through their own logic. This approach continues the dialogue rather than ending it with correction or moving on. While wait time is an important questioning technique, it applies to initial question delivery rather than follow-up in an ongoing Socratic dialogue. Providing immediate correction and explanation contradicts the Socratic method's core principle of using questions rather than telling to develop understanding. Critical thinking assessment is an evaluative process that measures student reasoning, whereas the Socratic method is a developmental strategy that builds reasoning through progressive questioning."	"Foundations of Education, page 198"
